ID;Name;Besucht;Breitengrad;Längengrad;Hauptheft;Baudensteig;Burgen + Schlösser;Goethe im Harz;Goslar Wandert;Harzer Grenzweg;Harzer Hexenstieg;Harzer Steiger;Karstwanderweg;Kloster Wanderweg;Lutherweg;Nationalpark Harz;Quedlinburg;Selketalstieg;Steinway-Trail;Dorfrunde Seesen;Deister Wandernadel;Huy Fallstein
BAU01;Berggaststätte Hausberg;;51.63103;10.46339;;1;;;;;;;;;;;;;;;;
BAU02;Ravensberger Baude „Berghof“;;51.62149;10.52704;;1;;;;;;;;;;;;;;;;
BAU03;Waldgasthaus Bahnhof Stöberhai;;51.66220;10.57556;;1;;;;;;;;;;;;;;;;
BS01;Schloss Quedlinburg;;51.78581;11.13752;;;1;;;;;;;;;;;;;;;
BS04;Burgruine Hausneindorf;;51.83998;11.27157;;;1;;;;;;;;;;;;;;;
BS05;Erichsburg;;51.67164;11.06070;;;1;;;;;;;;;;;;;;;
BS06;Großes Schloss Blankenburg;;51.78697;10.95525;;;1;;;;;;;;;;;;;;;
BS07;Güntersburg;;51.63579;10.97310;;;1;;;;;;;;;;;;;;;
BS09;Heinrichsburg;;51.67652;11.13451;;;1;;;;;;;;;;;;;;;
BS10;Huysburg;;51.96000;11.00114;;;1;;;;;;;;;;;;;;;1
BS12;Kleines Schloss Blankenburg;;51.78847;10.95973;;;1;;;;;;;;;;;;;;;
BS13;Königsplatz Bodfeld;;51.78820;10.83979;;;1;;;;;;;;;;;;;;;
BS14;Königsplatz Derenburg;;51.87423;10.91411;;;1;;;;;;;;;;;;;;;
BS16;Roseburg;;51.72705;11.19548;;;1;;;;;;;;;;;;;;;
BS18;Ruine Domburg im Hakel bei Heteborn;;51.87620;11.31693;;;1;;;;;;;;;;;;;;;
BS19;Burg Schlanstedt;;52.01029;11.02936;;;1;;;;;;;;;;;;;;;1
BS20;Schloss Ballenstedt;;51.71816;11.21985;;;1;;;;;;;;;;;;;;;
BS21;Schloss Hessen;;52.01873;10.78177;;;1;;;;;;;;;;;;;;;1
BS22;Schloss Wernigerode;;51.83075;10.79362;;;1;;;;;;;;;;;;;;;
BS23;Schloss zu Harzgerode;;51.64265;11.14159;;;1;;;;;;;;;;;;;;;
BS24;Selkenfelder Schanze;;51.65065;10.92691;;;1;;;;;;;;;;;;;;;
BS25;Seweckenberge bei Quedlinburg;;51.76992;11.20721;;;1;;;;;;;;;;1;;;;;
BS26;St. Wiperti;;51.78544;11.13033;;;1;;;;;;;;;;1;;;;;
BS27;Stapelburg;;51.90371;10.66917;;;1;;;;;;;;;;;;;;;
BS28;Stecklenburg;;51.73092;11.08829;;;1;;;;;;;;;;;;;;;
BS29;Treseburg;;51.71817;10.97059;;;1;;;;;;;;;;;;;;;
BS30;Westerburg;;52.01394;10.86604;;;1;;;;;;;;;;;;;;;
BS31;Winzenburg;;51.74128;11.01270;;;1;;;;;;;;;;;;;;;
BS32;Wasserburg Zilly;;51.94314;10.82516;;;1;;;;;;;;;;;;;;;1
K03;Badenhäuser Königsstein;;51.75780;10.19785;;;;;;;;;1;;;;;;;;;
K04;Burgruine Lichtenstein;;51.72136;10.17570;;;;;;;;;1;;;;;;;;;
K05;Osteroder Feldherrenhügel;;51.70041;10.23198;;;;;;;;;1;;;;;;;;;
K06;Dünaer Rötzelkamm;;51.69701;10.26364;;;;;;;;;1;;;;;;;;;
K07;Herzberger Papenberg;;51.64789;10.35960;;;;;;;;;1;;;;;;;;;
K10;Westersteine;;51.60006;10.43335;;;;;;;;;1;;;;;;;;;
K14;Wache auf dem Mühlberg;;51.55511;10.76061;;;;;;;;;1;;;;;;;;;
K16;Salzaspring;;51.53044;10.76171;;;;;;;;;1;;;;;;;;;
KL01;Kloster Wendhusen;;51.75624;11.04923;;;;;;;;;;1;;;;;;;;
KL02;Bergkirche St. Bartholomäus;;51.78773;10.95454;;;;;;;;;;1;;;;;;;;
KL03;Kloster Michaelstein;;51.80599;10.91381;;;;;;;;;;1;;;;;;;;
KL04;Klosterort Himmelpforte;;51.83349;10.74318;;;;;;;;;;1;;;;;;;;
KL05;Kloster Drübeck;;51.85568;10.71553;;;;;;;;;;1;;;;;;;;
KL06;Kloster Ilsenburg;;51.85984;10.67875;;;;;;;;;;1;;;;;;;;
KL07;Kloster Wöltingerode;;51.95936;10.54000;;;;;;;;;;1;;;;;;;;
KL08;Stiftskirche St. Georg Grauhof;;51.93778;10.44801;;;;;;;;;;1;;;;;;;;
KL09;Neuwerkkirche;;51.90953;10.42531;;;;;;;;;;1;;;;;;;;
KL10;Stiftskirche St. Cyriakus;;51.72461;11.13596;;;;;;;;;;1;;;1;;;;;
KL11;Museum Klosterkirche St. Marien;;51.78763;11.13355;;;;;;;;;;1;;;1;;;;;
KL12;St. Johanniskirche;;51.83705;10.78813;;;;;;;;;;1;;;;;;;;
L01;Wolfsmühle Rodishain;;51.53740;10.92848;;;;;;;;;;;1;;;;;;;
L02;Feldflur Hayn;;51.57992;11.06311;;;;;;;;;;;1;;;;;;;
L03;Naturerlebnisstation am Heuweg;;51.57377;11.15662;;;;;;;;;;;1;;;;;;;
L04;Naturerlebnisstation am Kleebeck;;51.56023;11.28372;;;;;;;;;;;1;;;;;;;
L05;Baumrode;;51.57706;11.38306;;;;;;;;;;;1;;;;;;;
L06;Naturerlebnisstation am Brandberg;;51.58729;11.42807;;;;;;;;;;;1;;;;;;;
L07;Luthers kalte Stelle;;51.51715;11.61341;;;;;;;;;;;1;;;;;;;
ST01;Wolfshagen Festhalle;;51.91070;10.31757;;;;;;;;;;;;;;;1;;;
ST02;Steinway-Park;;51.88420;10.20687;;;;;;;;;;;;;;;1;;;
ST03;Seesen Poststraße;;51.8894;10.17261;;;;;;;;;;;;;;;1;1;;
ST04;Städtisches Museum Seesen;;51.89259;10.17196;;;;;;;;;;;;;;;1;;;
DR01;Herrhausen;;51.86723;10.18436;;;;;;;;;;;;;;;;1;;
DR02;Münchehof;;51.84514;10.20551;;;;;;;;;;;;;;;;1;;
DR03;Kirchberg;;51.85500;10.15754;;;;;;;;;;;;;;;;1;;
DR04;Ildehausen;;51.85159;10.12773;;;;;;;;;;;;;;;;1;;
DR05;Engelade;;51.8775;10.1374;;;;;;;;;;;;;;;;1;;
DR06;Bilderlahe;;51.88920;10.12755;;;;;;;;;;;;;;;;1;;
DR07;Mechtshausen;;51.91698;10.10913;;;;;;;;;;;;;;;;1;;
DR08;Rhüden;;51.94457;10.12451;;;;;;;;;;;;;;;;1;;
DR09 ;Bornhausen;;51.91823;10.15230;;;;;;;;;;;;;;;;1;;
DE01;Forellenteich;;52.2908;9.44736;;;;;;;;;;;;;;;;;1;
DE02;Waldwirtschaft Bärenhöhle;;52.27943;9.49175;;;;;;;;;;;;;;;;;1;
DE03;Wasserräder Wennigsen;;52.25727;9.52385;;;;;;;;;;;;;;;;;1;
DE04;Waldgaststätte Annaturm;;52.24684;9.50884;;;;;;;;;;;;;;;;;1;
DE05;Naturfreundehaus Deisterhütte;;52.22101;9.57774;;;;;;;;;;;;;;;;;1;
DE06;Deisterpforte;;52.20001;9.52775;;;;;;;;;;;;;;;;;1;
DE07;Berggasthaus Ziegenhütte;;52.21138;9.48196;;;;;;;;;;;;;;;;;1;
DE08;Waldgatstätte Nordmannsturm;;52.26994;9.45335;;;;;;;;;;;;;;;;;1;
DE09;Forsthaus Blumenhagen;;52.26978;9.40765;;;;;;;;;;;;;;;;;1;
DE10;Waldgaststätte Teufelsbrücke;;52.30444;9.40444;;;;;;;;;;;;;;;;;1;
DE11;Waldgasthof Mooshütte;;52.31989;9.39961;;;;;;;;;;;;;;;;;1;
DE12;Tourist-Info im Haus Kassel;;52.3354;9.37652;;;;;;;;;;;;;;;;;1;
HF01;Gletschertöpfe;;51.957019;10.913999;;;;;;;;;;;;;;;;;;1
HF02;Daneilshöhle;;51.962467;10.987304;;;;;;;;;;;;;;;;;;1
HF03;Blechbude Wilhelmshall;;51.96092;10.945868;;;;;;;;;;;;;;;;;;1
HF04;Quelle Piepenpal Huy-Neinstedt;;51.964208;10.914785;;;;;;;;;;;;;;;;;;1
HF05;Wasserschloss Westerburg;;52.0153;10.8664;;;;;;;;;;;;;;;;;;1
HF06;Heimatmuseum Dedeleben;;52.033838;10.891779;;;;;;;;;;;;;;;;;;1
HF07;Linde Vogelsdorf;;52.012116;10.898834;;;;;;;;;;;;;;;;;;1
HF08;Mühle Badersleben;;51.979887;10.894441;;;;;;;;;;;;;;;;;;1
HF09;Heiketalwarte;;51.957371;10.883202;;;;;;;;;;;;;;;;;;1
HF10;Windpark Druiberg;;51.984798;10.848555;;;;;;;;;;;;;;;;;;1
HF11;Deersheim;;51.979573;10.779755;;;;;;;;;;;;;;;;;;1
HF12;Steinbruch Hoppenstedt;;51.999244;10.659301;;;;;;;;;;;;;;;;;;1
HF13;Stötterlingenburg Lüttgenrode;;51.967669;10.666592;;;;;;;;;;;;;;;;;;1
HF14;Bismarckturm Osterwieck;;51.986859;10.711622;;;;;;;;;;;;;;;;;;1
HF15;Schäfers Hof Osterwieck;;51.970381;10.71379;;;;;;;;;;;;;;;;;;1
